Filenames,Depth from lung surface (in micrometers) where image was acquired
images/MASK_SK658 Llobe ch010039.jpg,15
images/MASK_SK658 Llobe ch010021.jpg,30
images/MASK_SK658 Llobe ch010017.jpg,45
images/MASK_SK658 Llobe ch010036.jpg,55
images/MASK_SK658 Llobe ch010019.jpg,60
images/MASK_SK658 Llobe ch010022.jpg,80
images/MASK_SK658 Llobe ch010018.jpg,90
images/MASK_SK658 Llobe ch010023.jpg,100
images/MASK_SK658 Llobe ch010030.jpg,200
images/MASK_SK658 Slobe ch010156.jpg,330
images/MASK_SK658 Llobe ch010040.jpg,380
images/MASK_SK658 Llobe ch010051.jpg,400
images/MASK_SK658 Llobe ch010032.jpg,500
images/MASK_SK658 Slobe ch010048.jpg,540
images/MASK_SK658 Llobe ch010025.jpg,570
images/MASK_SK658 Llobe ch010061.jpg,585
images/MASK_SK658 Llobe ch010024.jpg,600
images/MASK_SK658 Slobe ch010157.jpg,750
images/MASK_SK658 Llobe ch010035.jpg,780
images/MASK_SK658 Llobe ch010171.jpg,810
images/MASK_SK658 Slobe ch010159.jpg,860
images/MASK_SK658 Slobe ch010158.jpg,920
images/MASK_SK658 Llobe ch010031.jpg,955
images/MASK_SK658 Slobe ch010066.jpg,1000
images/MASK_SK658 Llobe ch010067.jpg,1500
images/MASK_SK658 Slobe ch010146.jpg,2000
images/MASK_SK658 Llobe ch010164.jpg,2200
images/MASK_SK658 Slobe ch010083.jpg,2400
images/MASK_SK658 Slobe ch010143.jpg,2600
images/MASK_SK658 Llobe ch010026.jpg,2800
images/MASK_SK658 Llobe ch010033.jpg,2950
images/MASK_SK658 Slobe ch010147.jpg,3000
images/MASK_SK658 Llobe ch010174.jpg,3100
images/MASK_SK658 Slobe ch010129.jpg,3250
images/MASK_SK658 Slobe ch010149.jpg,3350
images/MASK_SK658 Llobe ch010065.jpg,3900
images/MASK_SK658 Slobe ch010134.jpg,4500
images/MASK_SK658 Slobe ch010078.jpg,4700
images/MASK_SK658 Slobe ch010110.jpg,5300
images/MASK_SK658 Slobe ch010112.jpg,5500
images/MASK_SK658 Slobe ch010077.jpg,5900
images/MASK_SK658 Llobe ch010168.jpg,6000
images/MASK_SK658 Slobe ch010107.jpg,6300
images/MASK_SK658 Llobe ch010034.jpg,6600
images/MASK_SK658 Slobe ch010126.jpg,6800
images/MASK_SK658 Slobe ch010086.jpg,6900
images/MASK_SK658 Slobe ch010130.jpg,7000
images/MASK_SK658 Slobe ch010142.jpg,7100
images/MASK_SK658 Llobe ch010071.jpg,7100
images/MASK_SK658 Llobe ch010160.jpg,7200
images/MASK_SK658 Slobe ch010113.jpg,7300
images/MASK_SK658 Slobe ch010063.jpg,7400
images/MASK_SK658 Llobe ch010149.jpg,7500
images/MASK_SK658 Llobe ch010159.jpg,7600
images/MASK_SK658 Slobe ch010059.jpg,7700
images/MASK_SK658 Slobe ch010119.jpg,8000
images/MASK_SK658 Slobe ch010105.jpg,8100
images/MASK_SK658 Slobe ch010088.jpg,8200
images/MASK_SK658 Slobe ch010140.jpg,8300
images/MASK_SK658 Slobe ch010060.jpg,8400
images/MASK_SK658 Llobe ch010146.jpg,8500
images/MASK_SK658 Slobe ch010111.jpg,8600
images/MASK_SK658 Slobe ch010115.jpg,8800
images/MASK_SK658 Slobe ch010087.jpg,8000
images/MASK_SK658 Llobe ch010121.jpg,9000
images/MASK_SK658 Slobe ch010136.jpg,9200
images/MASK_SK658 Slobe ch010093.jpg,9300
images/MASK_SK658 Slobe ch010096.jpg,9400
images/MASK_SK658 Slobe ch010135.jpg,9500
images/MASK_SK658 Slobe ch010103.jpg,9600
images/MASK_SK658 Slobe ch010104.jpg,9700
images/MASK_SK658 Slobe ch010068.jpg,9800
images/MASK_SK658 Slobe ch010097.jpg,9900
images/MASK_SK658 Slobe ch010118.jpg,9900
images/MASK_SK658 Slobe ch010114.jpg,9900
images/MASK_SK658 Slobe ch010092.jpg,10000
images/MASK_SK658 Slobe ch010089.jpg,10000
images/MASK_SK658 Slobe ch010098.jpg,10000
