filename,basename,depth_um,white_pixels,black_pixels,total_pixels,percent_white_pixels
E:\OneDrive - University of Virginia\Will M\Undergraduate Research Courses-Grants\05_Spring_2026\Computational_Biomedical_BME_2315\Module-3-Fibrosis\chosen images\MASK_Sk658 Llobe ch010036.jpg,MASK_Sk658 Llobe ch010036.jpg,55.0,29677,4164627,4194304,0.707554817199707
E:\OneDrive - University of Virginia\Will M\Undergraduate Research Courses-Grants\05_Spring_2026\Computational_Biomedical_BME_2315\Module-3-Fibrosis\chosen images\MASK_SK658 Slobe ch010156.jpg,MASK_SK658 Slobe ch010156.jpg,330.0,38068,4156236,4194304,0.9076118469238281
E:\OneDrive - University of Virginia\Will M\Undergraduate Research Courses-Grants\05_Spring_2026\Computational_Biomedical_BME_2315\Module-3-Fibrosis\chosen images\MASK_SK658 Slobe ch010157.jpg,MASK_SK658 Slobe ch010157.jpg,750.0,56419,4137885,4194304,1.3451337814331055
E:\OneDrive - University of Virginia\Will M\Undergraduate Research Courses-Grants\05_Spring_2026\Computational_Biomedical_BME_2315\Module-3-Fibrosis\chosen images\MASK_SK658 Slobe ch010159.jpg,MASK_SK658 Slobe ch010159.jpg,860.0,59426,4134878,4194304,1.4168262481689453
E:\OneDrive - University of Virginia\Will M\Undergraduate Research Courses-Grants\05_Spring_2026\Computational_Biomedical_BME_2315\Module-3-Fibrosis\chosen images\MASK_SK658 Slobe ch010158.jpg,MASK_SK658 Slobe ch010158.jpg,920.0,59788,4134516,4194304,1.4254570007324219
E:\OneDrive - University of Virginia\Will M\Undergraduate Research Courses-Grants\05_Spring_2026\Computational_Biomedical_BME_2315\Module-3-Fibrosis\chosen images\MASK_SK658 Slobe ch010146.jpg,MASK_SK658 Slobe ch010146.jpg,2000.0,62913,4131391,4194304,1.4999628067016602
E:\OneDrive - University of Virginia\Will M\Undergraduate Research Courses-Grants\05_Spring_2026\Computational_Biomedical_BME_2315\Module-3-Fibrosis\chosen images\MASK_SK658 Slobe ch010143.jpg,MASK_SK658 Slobe ch010143.jpg,2600.0,70715,4123589,4194304,1.6859769821166992
E:\OneDrive - University of Virginia\Will M\Undergraduate Research Courses-Grants\05_Spring_2026\Computational_Biomedical_BME_2315\Module-3-Fibrosis\chosen images\MASK_SK658 Slobe ch010147.jpg,MASK_SK658 Slobe ch010147.jpg,3000.0,80534,4113770,4194304,1.9200801849365234
E:\OneDrive - University of Virginia\Will M\Undergraduate Research Courses-Grants\05_Spring_2026\Computational_Biomedical_BME_2315\Module-3-Fibrosis\chosen images\MASK_Sk658 Llobe ch010174.jpg,MASK_Sk658 Llobe ch010174.jpg,3100.0,81014,4113290,4194304,1.9315242767333984
E:\OneDrive - University of Virginia\Will M\Undergraduate Research Courses-Grants\05_Spring_2026\Computational_Biomedical_BME_2315\Module-3-Fibrosis\chosen images\MASK_SK658 Slobe ch010149.jpg,MASK_SK658 Slobe ch010149.jpg,3350.0,83416,4110888,4194304,1.9887924194335938
E:\OneDrive - University of Virginia\Will M\Undergraduate Research Courses-Grants\05_Spring_2026\Computational_Biomedical_BME_2315\Module-3-Fibrosis\chosen images\MASK_Sk658 Llobe ch010034.jpg,MASK_Sk658 Llobe ch010034.jpg,6600.0,101283,4093021,4194304,2.4147748947143555
E:\OneDrive - University of Virginia\Will M\Undergraduate Research Courses-Grants\05_Spring_2026\Computational_Biomedical_BME_2315\Module-3-Fibrosis\chosen images\MASK_Sk658 Llobe ch010149.jpg,MASK_Sk658 Llobe ch010149.jpg,7500.0,124833,4069471,4194304,2.976250648498535
E:\OneDrive - University of Virginia\Will M\Undergraduate Research Courses-Grants\05_Spring_2026\Computational_Biomedical_BME_2315\Module-3-Fibrosis\chosen images\MASK_Sk658 Llobe ch010121.jpg,MASK_Sk658 Llobe ch010121.jpg,9000.0,161111,4033193,4194304,3.8411855697631836
E:\OneDrive - University of Virginia\Will M\Undergraduate Research Courses-Grants\05_Spring_2026\Computational_Biomedical_BME_2315\Module-3-Fibrosis\chosen images\MASK_SK658 Slobe ch010114.jpg,MASK_SK658 Slobe ch010114.jpg,9900.0,242340,3951964,4194304,5.777835845947266
E:\OneDrive - University of Virginia\Will M\Undergraduate Research Courses-Grants\05_Spring_2026\Computational_Biomedical_BME_2315\Module-3-Fibrosis\chosen images\MASK_SK658 Slobe ch010118.jpg,MASK_SK658 Slobe ch010118.jpg,9900.0,237289,3957015,4194304,5.657410621643066
